Date,英语7项,数学4项,语文4项,本日预期收益,本日进度,周数,日期
03/30/2026,,,,0,😭,,"@March 30, 2026 "
03/31/2026,,,,0,😭,,"@March 31, 2026 "
04/01/2026,,,,0,😭,,"@April 1, 2026 "
04/02/2026,,,,0,😭,,"@April 2, 2026 "
04/03/2026,,,,0,😭,,"@April 3, 2026 "
04/04/2026,,,,0,😭,,"@April 4, 2026 "
04/05/2026,,,,0,😭,,"@April 5, 2026 "
04/06/2026,,,,0,😭,,"@April 6, 2026 "
04/07/2026,,,,0,😭,,"@April 7, 2026 "
04/08/2026,,,,0,😭,,"@April 8, 2026 "
04/09/2026,,,,0,😭,,"@April 9, 2026 "
04/10/2026,,,,0,😭,,"@April 10, 2026 "
04/11/2026,,,,0,😭,,"@April 11, 2026 "
04/12/2026,,,,0,😭,,"@April 12, 2026 "
04/13/2026,,,,0,😭,,"@April 13, 2026 "
04/14/2026,,,,0,😭,,"@April 14, 2026 "
04/15/2026,,,,0,😭,,"@April 15, 2026 "
04/16/2026,,,,0,😭,,"@April 16, 2026 "
04/17/2026,,,,0,😭,,"@April 17, 2026 "
04/18/2026,,,,0,😭,,"@April 18, 2026 "
04/19/2026,,,,0,😭,,"@April 19, 2026 "
04/20/2026,,,,0,😭,,"@April 20, 2026 "
04/21/2026,,,,0,😭,,"@April 21, 2026 "
04/22/2026,,,,0,😭,,"@April 22, 2026 "
04/23/2026,,,,0,😭,,"@April 23, 2026 "
04/24/2026,,,,0,😭,,"@April 24, 2026 "
04/25/2026,,,,0,😭,,"@April 25, 2026 "